Avatar,James Cameron,CCH Pounder,237000000,760505847,Action|Adventure|Fantasy|Sci-Fi,avatar|future|marine|native|paraplegic,English,USA,PG-13,2009,7.9,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1
Pirates of the Caribbean: At World's End,Gore Verbinski,Johnny Depp,300000000,309404152,Action|Adventure|Fantasy,goddess|marriage ceremony|marriage proposal|pirate|singapore,English,USA,PG-13,2007,7.1,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1
The Dark Knight Rises,Christopher Nolan,Tom Hardy,250000000,448130642,Action|Thriller,deception|imprisonment|lawlessness|police officer|terrorist plot,English,USA,PG-13,2012,8.5,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1
John Carter,Andrew Stanton,Daryl Sabara,263700000,73058679,Action|Adventure|Sci-Fi,alien|american civil war|male nipple|mars|princess,English,USA,PG-13,2012,6.6,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1
Spider-Man 3,Sam Raimi,J.K. Simmons,258000000,336530303,Action|Adventure|Romance,sandman|spider man|symbiote|venom|villain,English,USA,PG-13,2007,6.2,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1
Tangled,Nathan Greno,Brad Garrett,260000000,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,17th century|based on fairy tale|disney|flower|tower,English,USA,PG,2010,7.8,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1
Avengers: Age of Ultron,Joss Whedon,Chris Hemsworth,250000000,458991599,Action|Adventure|Sci-Fi,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,English,USA,PG-13,2015,7.5,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1
Batman v Superman: Dawn of Justice,Zack Snyder,Henry Cavill,250000000,330249062,Action|Adventure|Sci-Fi,based on comic book|batman|sequel to a reboot|superhero|superman,English,USA,PG-13,2016,6.9,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1
Superman Returns,Bryan Singer,Kevin Spacey,209000000,200069408,Action|Adventure|Sci-Fi,crystal|epic|lex luthor|lois lane|return to earth,English,USA,PG-13,2006,6.1,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1
The Lone Ranger,Gore Verbinski,Johnny Depp,215000000,89289910,Action|Adventure|Western,horse|outlaw|texas|texas ranger|train,English,USA,PG-13,2013,6.5,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1
Man of Steel,Zack Snyder,Henry Cavill,225000000,291021565,Action|Adventure|Fantasy|Sci-Fi,based on comic book|british actor playing american character|final battle|origin of hero|reboot,English,USA,PG-13,2013,7.2,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Peter Dinklage,225000000,141614023,Action|Adventure|Family|Fantasy,brother brother relationship|brother sister relationship|good versus evil|king|narnia,English,USA,PG,2008,6.6,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1
The Avengers,Joss Whedon,Chris Hemsworth,220000000,623279547,Action|Adventure|Sci-Fi,alien invasion|assassin|battle|iron man|soldier,English,USA,PG-13,2012,8.1,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Johnny Depp,250000000,241063875,Action|Adventure|Fantasy,blackbeard|captain|pirate|revenge|soldier,English,USA,PG-13,2011,6.7,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1
Men in Black 3,Barry Sonnenfeld,Will Smith,225000000,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,alien|criminal|m.i.b.|maximum security prison|prison,English,USA,PG-13,2012,6.8,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1
The Amazing Spider-Man,Marc Webb,Emma Stone,230000000,262030663,Action|Adventure|Fantasy,lizard|outcast|spider|spider man|teenager,English,USA,PG-13,2012,7,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1
Robin Hood,Ridley Scott,Mark Addy,200000000,105219735,Action|Adventure|Drama|History,1190s|archer|england|king of england|robin hood,English,USA,PG-13,2010,6.7,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1
The Hobbit: The Desolation of Smaug,Peter Jackson,Aidan Turner,225000000,258355354,Adventure|Fantasy,dwarf|elf|lake town|mountain|sword and sorcery,English,USA,PG-13,2013,7.9,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1
The Golden Compass,Chris Weitz,Christopher Lee,180000000,70083519,Adventure|Family|Fantasy,children|epic|friend|girl|quest,English,USA,PG-13,2007,6.1,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1
Titanic,James Cameron,Leonardo DiCaprio,200000000,658672302,Drama|Romance,artist|love|ship|titanic|wet,English,USA,PG-13,1997,7.7,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1
Captain America: Civil War,Anthony Russo,Robert Downey Jr.,250000000,407197282,Action|Adventure|Sci-Fi,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,English,USA,PG-13,2016,8.2,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1
Battleship,Peter Berg,Liam Neeson,209000000,65173160,Action|Adventure|Sci-Fi|Thriller,box office flop|hawaii|naval|oahu hawaii|ship,English,USA,PG-13,2012,5.9,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1
Jurassic World,Colin Trevorrow,Bryce Dallas Howard,150000000,652177271,Action|Adventure|Sci-Fi|Thriller,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,English,USA,PG-13,2015,7,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1
Spider-Man 2,Sam Raimi,J.K. Simmons,200000000,373377893,Action|Adventure|Fantasy|Romance,death|doctor|scientist|super villain|tentacle,English,USA,PG-13,2004,7.3,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1
Iron Man 3,Shane Black,Robert Downey Jr.,200000000,408992272,Action|Adventure|Sci-Fi,armor|explosion|human bomb|missile attack|terrorist,English,USA,PG-13,2013,7.2,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1
